,FieldID,Experiment,field.name,diffCSscore,yields_average,yields_variance,varCSscore,invVar_Ctub,invVar_Ntub,invVar_Csscore,Std.Err.Mean.Control.Microbe,Std.Err.Mean.LowN.Microbe,seCSscore,claderich0.1,cladediv0.1,claderich0.15,cladediv0.15,claderich0.2,cladediv0.2,claderich0.25,cladediv0.25,claderich0.3,cladediv0.3,claderich0.35,cladediv0.35,claderich0.4,cladediv0.4,claderich0.45,cladediv0.45,claderich0.5,cladediv0.5,claderich0.55,cladediv0.55,claderich0.6,cladediv0.6,claderich0.7,cladediv0.7,claderich0.8,cladediv0.8,asvrich,asvdiv,PD,nutrients
1,1,2015,CF1,1.280555556,247.26153,75.44312083,1.148148148,0.013255019,0.001813613,0.870967742,4.3429,11.7408,0.618640485,22,2.276873652,40,2.601290914,69,2.899248608,118,3.239465533,167,3.76897553,215,4.268110483,262,4.473499224,298,4.618076334,310,4.698941141,331,4.835653513,339,4.887445607,370,5.087528282,395,5.226187454,400,5.230529384,31.6993745,high
2,1,2015,CF1,1.280555556,218.6784,551.3855492,1.148148148,0.013255019,0.001813613,0.870967742,4.3429,11.7408,0.618640485,22,2.276873652,40,2.601290914,69,2.899248608,118,3.239465533,167,3.76897553,215,4.268110483,262,4.473499224,298,4.618076334,310,4.698941141,331,4.835653513,339,4.887445607,370,5.087528282,395,5.226187454,400,5.230529384,31.6993745,low
3,2,2015,CF2,0.762103175,221.60938,2061.830163,0.833557728,0.000485006,0.00303595,1.199676958,22.7037,9.0745,0.456496914,20,2.206943289,32,2.400265449,51,2.768875526,103,3.229995259,161,3.845416099,215,4.275554363,249,4.43731242,282,4.599439907,291,4.656949839,309,4.842093818,321,4.898133922,337,5.144045669,354,5.209357859,355,5.211096983,26.60308888,high
4,2,2015,CF2,0.762103175,216.76044,329.3861888,0.833557728,0.000485006,0.00303595,1.199676958,22.7037,9.0745,0.456496914,20,2.206943289,32,2.400265449,51,2.768875526,103,3.229995259,161,3.845416099,215,4.275554363,249,4.43731242,282,4.599439907,291,4.656949839,309,4.842093818,321,4.898133922,337,5.144045669,354,5.209357859,355,5.211096983,26.60308888,low
5,3,2015,CF4,1.089285714,260.05795,382.9614331,0.317602041,0.002611229,0.001171079,3.148594378,9.7847,14.6109,0.325372628,22,2.119983627,39,2.303622903,59,2.618772921,108,2.968523942,157,3.464252687,203,3.82021229,232,3.951915458,252,4.029574314,261,4.065518689,273,4.153511971,286,4.232497668,310,4.453618261,340,4.567908955,340,4.567908955,30.88359893,high
6,3,2015,CF4,1.089285714,209.17201,853.9133568,0.317602041,0.002611229,0.001171079,3.148594378,9.7847,14.6109,0.325372628,22,2.119983627,39,2.303622903,59,2.618772921,108,2.968523942,157,3.464252687,203,3.82021229,232,3.951915458,252,4.029574314,261,4.065518689,273,4.153511971,286,4.232497668,310,4.453618261,340,4.567908955,340,4.567908955,30.88359893,low
7,4,2015,CF5,3.208333333,238.36716,452.336408,9.159722254,0.002210744,0.004651339,0.109173616,10.6341,7.3313,1.51325165,21,2.145946297,31,2.284875102,51,2.627511732,81,2.977941668,136,3.663882688,177,4.064341232,198,4.185131052,213,4.267183919,226,4.319912974,240,4.511197607,249,4.570935714,264,4.752686391,274,4.784317907,274,4.784317907,23.38436868,high
8,4,2015,CF5,3.208333333,233.20952,214.991855,9.159722254,0.002210744,0.004651339,0.109173616,10.6341,7.3313,1.51325165,21,2.145946297,31,2.284875102,51,2.627511732,81,2.977941668,136,3.663882688,177,4.064341232,198,4.185131052,213,4.267183919,226,4.319912974,240,4.511197607,249,4.570935714,264,4.752686391,274,4.784317907,274,4.784317907,23.38436868,low
9,5,2015,DO1,2.45,286.36653,941.4343128,4.196666661,0.001062209,0.004013995,0.238284353,15.3414,7.8919,1.182746333,22,2.526863846,31,2.77005962,54,3.206034328,76,3.447349318,96,3.789897858,110,4.019302402,125,4.218381512,135,4.322019178,136,4.341113392,140,4.403219403,142,4.414700142,154,4.602408235,159,4.638409519,159,4.638409519,19.46883234,high
10,5,2015,DO1,2.45,252.371,249.1283621,4.196666661,0.001062209,0.004013995,0.238284353,15.3414,7.8919,1.182746333,22,2.526863846,31,2.77005962,54,3.206034328,76,3.447349318,96,3.789897858,110,4.019302402,125,4.218381512,135,4.322019178,136,4.341113392,140,4.403219403,142,4.414700142,154,4.602408235,159,4.638409519,159,4.638409519,19.46883234,low
